2024-11-19 15:23:03,808 [INFO]  Połączono z bazą danych
2024-11-19 15:23:03,825 [DEBUG]  Connection to Modbus server established. Socket ('192.168.1.120', 53396)
2024-11-19 15:23:03,825 [INFO]  Połączono z serwerem Modbus
2024-11-19 15:23:03,826 [INFO]  Odczyt FLOAT Prad -> L1: Offset = 0, Jednostka = A
2024-11-19 15:23:03,826 [DEBUG]  Current transaction state - IDLE
2024-11-19 15:23:03,826 [DEBUG]  Running transaction 1
2024-11-19 15:23:03,827 [DEBUG]  SEND: 0x0 0x1 0x0 0x0 0x0 0x6 0x1 0x4 0x0 0x0 0x0 0x1
2024-11-19 15:23:03,827 [DEBUG]  New Transaction state "SENDING"
2024-11-19 15:23:03,828 [DEBUG]  Changing transaction state from "SENDING" to "WAITING FOR REPLY"
2024-11-19 15:23:03,830 [DEBUG]  Changing transaction state from "WAITING FOR REPLY" to "PROCESSING REPLY"
2024-11-19 15:23:03,830 [DEBUG]  RECV: 0x0 0x1 0x0 0x0 0x0 0x5 0x1 0x4 0x2 0x0 0x8
2024-11-19 15:23:03,831 [DEBUG]  Processing: 0x0 0x1 0x0 0x0 0x0 0x5 0x1 0x4 0x2 0x0 0x8
2024-11-19 15:23:03,831 [DEBUG]  decode PDU for 4
2024-11-19 15:23:03,832 [DEBUG]  Frame advanced, resetting header!!
2024-11-19 15:23:03,833 [DEBUG]  Adding transaction 1
2024-11-19 15:23:03,833 [DEBUG]  Getting transaction 1
2024-11-19 15:23:03,833 [DEBUG]  Changing transaction state from "PROCESSING REPLY" to "TRANSACTION_COMPLETE"
2024-11-19 15:23:03,834 [INFO]  Rejestr L1 odczytany: 8
2024-11-19 15:23:03,846 [WARNING]  Rekord o nazwie - L1 już istnieje w tej tabeli
2024-11-19 15:23:03,883 [INFO]  Dodano rekord w tabeli odczyty: id_prad = 1, wartosc = 8
2024-11-19 15:23:03,883 [INFO]  Odczyt FLOAT Prad -> L2: Offset = 1, Jednostka = A
2024-11-19 15:23:03,884 [DEBUG]  Current transaction state - TRANSACTION_COMPLETE
2024-11-19 15:23:03,884 [DEBUG]  Running transaction 2
2024-11-19 15:23:03,885 [DEBUG]  SEND: 0x0 0x2 0x0 0x0 0x0 0x6 0x1 0x4 0x0 0x1 0x0 0x1
