2024-11-19 15:24:52,803 [INFO]  Połączono z bazą danych
2024-11-19 15:24:52,820 [DEBUG]  Connection to Modbus server established. Socket ('192.168.1.120', 53431)
2024-11-19 15:24:52,820 [INFO]  Połączono z serwerem Modbus
2024-11-19 15:24:52,820 [INFO]  Odczyt FLOAT Prad -> L1: Offset = 0, Jednostka = A
2024-11-19 15:24:52,821 [DEBUG]  Current transaction state - IDLE
2024-11-19 15:24:52,821 [DEBUG]  Running transaction 1
2024-11-19 15:24:52,821 [DEBUG]  SEND: 0x0 0x1 0x0 0x0 0x0 0x6 0x1 0x4 0x0 0x0 0x0 0x1
2024-11-19 15:24:52,822 [DEBUG]  New Transaction state "SENDING"
2024-11-19 15:24:52,822 [DEBUG]  Changing transaction state from "SENDING" to "WAITING FOR REPLY"
2024-11-19 15:24:52,823 [DEBUG]  Changing transaction state from "WAITING FOR REPLY" to "PROCESSING REPLY"
2024-11-19 15:24:52,824 [DEBUG]  RECV: 0x0 0x1 0x0 0x0 0x0 0x5 0x1 0x4 0x2 0x0 0xb
2024-11-19 15:24:52,824 [DEBUG]  Processing: 0x0 0x1 0x0 0x0 0x0 0x5 0x1 0x4 0x2 0x0 0xb
2024-11-19 15:24:52,824 [DEBUG]  decode PDU for 4
2024-11-19 15:24:52,824 [DEBUG]  Frame advanced, resetting header!!
2024-11-19 15:24:52,825 [DEBUG]  Adding transaction 1
2024-11-19 15:24:52,825 [DEBUG]  Getting transaction 1
2024-11-19 15:24:52,825 [DEBUG]  Changing transaction state from "PROCESSING REPLY" to "TRANSACTION_COMPLETE"
2024-11-19 15:24:52,825 [INFO]  Rejestr L1 odczytany: 11
2024-11-19 15:24:52,829 [WARNING]  Rekord o nazwie - L1 już istnieje w tej tabeli
2024-11-19 15:24:52,864 [INFO]  Dodano rekord w tabeli odczyty: id_prad = 1, wartosc = 11
2024-11-19 15:24:52,865 [INFO]  Odczyt FLOAT Prad -> L2: Offset = 1, Jednostka = A
2024-11-19 15:24:52,865 [DEBUG]  Current transaction state - TRANSACTION_COMPLETE
2024-11-19 15:24:52,865 [DEBUG]  Running transaction 2
2024-11-19 15:24:52,866 [DEBUG]  SEND: 0x0 0x2 0x0 0x0 0x0 0x6 0x1 0x4 0x0 0x1 0x0 0x1
2024-11-19 15:24:52,866 [DEBUG]  New Transaction state "SENDING"
2024-11-19 15:24:52,866 [DEBUG]  Changing transaction state from "SENDING" to "WAITING FOR REPLY"
2024-11-19 15:24:52,867 [DEBUG]  Changing transaction state from "WAITING FOR REPLY" to "PROCESSING REPLY"
2024-11-19 15:24:52,867 [DEBUG]  RECV: 0x0 0x2 0x0 0x0 0x0 0x5 0x1 0x4 0x2 0x0 0x10
2024-11-19 15:24:52,867 [DEBUG]  Processing: 0x0 0x2 0x0 0x0 0x0 0x5 0x1 0x4 0x2 0x0 0x10
2024-11-19 15:24:52,868 [DEBUG]  decode PDU for 4
2024-11-19 15:24:52,868 [DEBUG]  Frame advanced, resetting header!!
2024-11-19 15:24:52,868 [DEBUG]  Adding transaction 2
2024-11-19 15:24:52,869 [DEBUG]  Getting transaction 2
2024-11-19 15:24:52,869 [DEBUG]  Changing transaction state from "PROCESSING REPLY" to "TRANSACTION_COMPLETE"
2024-11-19 15:24:52,871 [INFO]  Rejestr L2 odczytany: 16
2024-11-19 15:24:52,874 [WARNING]  Rekord o nazwie - L2 już istnieje w tej tabeli
2024-11-19 15:24:52,886 [INFO]  Dodano rekord w tabeli odczyty: id_prad = 2, wartosc = 16
2024-11-19 15:24:52,886 [INFO]  Odczyt FLOAT Prad -> L3: Offset = 2, Jednostka = A
2024-11-19 15:24:52,887 [DEBUG]  Current transaction state - TRANSACTION_COMPLETE
